企業名,本社住所,電話番号,地域,備考,情報源URL
赤穂化成株式会社,〒678-0193 兵庫県赤穂市坂越329,0791-48-1701,播磨(赤穂),化成品・食品メーカー。はりまっち掲載・2027年卒採用実施,https://web.ako-kasei.co.jp/company/recruit/new_career/
株式会社マインズ,〒670-0965 兵庫県姫路市東延末2-24 アークビル1F,079-225-8866,播磨(姫路),人材派遣・人材紹介・アウトソーシング。JOB播磨掲載企業,https://www.job-harima.jp/facility/detail/362
高砂機工株式会社,兵庫県高砂市高砂町南本町910番地 三晃ビル3F,079-443-5151,播磨(高砂),ガラス製造協力会社。ひょうご・しごと情報広場掲載,https://www.j-hiroba.jp/job_seaker/comlist01/detail_18249.html
株式会社尼﨑工作所,〒660-0806 兵庫県尼崎市金楽寺町1丁目6番15号,06-6482-1881,阪神(尼崎),1913年創業の産業機械メーカー。リクナビ掲載,http://www.amacoh.co.jp/gaiyo.html
尼崎信用金庫,兵庫県尼崎市開明町3丁目30番地,06-6412-5411,阪神(尼崎),地域金融機関。採用担当:人事戦略部 06-6412-5414,https://www.amashin.co.jp/recruit/
古野電気株式会社,〒662-8580 兵庫県西宮市芦原町9-52,0798-65-2111,阪神(西宮),舶用電子機器メーカー。東証プライム上場,https://www.furuno.co.jp/corporate/about/outline.html
大関株式会社,〒663-8227 兵庫県西宮市今津出在家町4番9号,0798-32-2111,阪神(西宮),清酒メーカー。※マイナビ・リクナビ掲載確認,https://www.ozeki.co.jp/about/gaiyou/
エスフーズ株式会社,〒663-8142 兵庫県西宮市鳴尾浜1丁目22番13,0798-43-1065,阪神(西宮),食肉加工。ひょうご応援企業掲載,https://www.sfoods.co.jp/company03.html
日本管財株式会社,兵庫県西宮市六湛寺町9-16,0798-35-2200,阪神(西宮),建物管理。本店は西宮市（新卒採用窓口は東京）,https://www.nkanzai.co.jp/recruit/new/
株式会社シュゼット・ホールディングス,兵庫県西宮市久保町5-16 ハーバースタジオ43南館,0798-36-8700,阪神(西宮),アンリ・シャルパンティエ等を展開。グループで新卒採用,https://www.careermap.jp/corporations/10069
伊丹産業株式会社,兵庫県伊丹市中央5丁目5番10号,072-783-0001,阪神(伊丹),総合エネルギー商社。※マイナビ2026/2027掲載確認,https://www.itami-grp.co.jp/company/info/
昌立工業株式会社,〒664-0837 兵庫県伊丹市北河原5丁目3番12号,072-771-6132,阪神(伊丹),精密電気絶縁部品メーカー。自社新卒採用サイトあり,https://shoritsukogyo-saiyo.jp/
東リ株式会社,〒664-8610 兵庫県伊丹市東有岡5丁目125番地,06-6494-6611,阪神(伊丹),床材・内装材メーカー。東証スタンダード上場,https://www.toli.co.jp/company/company_outline.html
新明和工業株式会社,〒665-0052 兵庫県宝塚市新明和町1-1,0798-56-5000,阪神(宝塚),特装車・航空機等。東証プライム上場,https://www.shinmaywa.co.jp/
株式会社ハイレックスコーポレーション,〒665-0845 兵庫県宝塚市栄町1丁目12番28号,0797-85-2521,阪神(宝塚),自動車用コントロールケーブル。リクナビ掲載,https://www.hi-lex.co.jp/outline/
株式会社ダイハツメタル,〒666-0023 兵庫県川西市東久代2丁目1-13,072-759-1215,阪神(川西),鋳鉄・アルミ鋳物部品製造,https://www.d-metal.co.jp/company/
株式会社モリタ,兵庫県三田市テクノパーク1番地の5,079-568-7800,阪神(三田),消防車両メーカー。グループで新卒採用実施,https://www.morita119.jp/company/office.html
シバタ工業株式会社,〒674-0082 兵庫県明石市魚住町中尾1058番地,078-946-1515,明石,ゴム製品メーカー。自社新卒採用サイトあり,https://www.sbt.co.jp/saiyo/company.html
藤原産業株式会社,〒673-0403 兵庫県三木市末広3-11-31,0794-83-3131,東播(三木),作業工具・園芸用品の企画販売。※マイナビ2027掲載確認,https://fujiwarasangyo-recruit.jp/company
神沢鉄工株式会社,〒673-0456 兵庫県三木市鳥町27番地,0794-83-1100,東播(三木),DIY工具メーカー。新卒採用枠は要確認,https://www.kanzawa.co.jp/about
東播染工株式会社,〒677-0016 兵庫県西脇市高田井町224,0795-22-1000,東播(西脇),播州織テキスタイルメーカー。新卒向け説明会実施,https://www.toban.jp/
藤井電工株式会社,〒679-0295 兵庫県加東市上滝野1573番地2,0795-48-3360,東播(加東),墜落制止用器具の国内シェアトップ。※マイナビ2027掲載確認,https://www.fujii-denko.co.jp/companyinfo/gaiyo/
中兵庫信用金庫,兵庫県丹波市氷上町成松226-1,0795-82-8850,丹波,地域金融機関。※マイナビ2027掲載確認,https://www.nakashin.co.jp/recruit/
株式会社西村屋,〒669-6101 兵庫県豊岡市城崎町湯島1016-2,0796-32-3351,但馬(豊岡),城崎温泉「西村屋本館」等を運営,https://job-navi.city.toyooka.lg.jp/company/nishimuraya
株式会社豊岡自動車教習所,〒668-0815 兵庫県豊岡市日撫312番地,0796-22-6321,但馬(豊岡),ジョブナビ豊岡に2026年新卒採用予定として掲載,https://job-navi.city.toyooka.lg.jp/company/toyooka-ds
株式会社ホテルニューアワジ,〒656-0023 兵庫県洲本市小路谷20番地,0799-23-2200,淡路(洲本),ホテル・旅館運営。グループ採用サイトで新卒採用,https://www.newawaji-hotels.com/corporate/about_us/
株式会社淡路島観光ホテル,〒656-0023 兵庫県洲本市小路谷1053-17,0799-26-0111,淡路(洲本),ホテル運営。※マイナビ2026掲載確認,https://job.mynavi.jp/26/pc/search/corp218027/outline.html
淡路麺業株式会社,〒656-2225 兵庫県淡路市生穂新島9番15号,0799-64-0811,淡路(淡路市),生パスタ製造（創業1909年）。※マイナビ2027掲載確認,https://www.namapasta.net/about/
大栄窯業株式会社,〒656-0341 兵庫県南あわじ市津井2124-2,0799-38-0930,淡路(南あわじ),淡路瓦メーカー。新卒採用の実施状況は要確認,https://www.daieibrand.com/
